smiles,staphylococcus_aureus
C/C=C/CCC(=O)[C@@H]1CC(=O)[C@H](/C=C/C)C[C@@H]1[C@@]1(C)OC(=O)C(C)=C1O,0
O=C1C=C[C@@H](O)[C@@H]2[C@H]1C[C@]13SS[C@@]4(C[C@H]5C(=O)C=C[C@H](O)[C@H]5N4C1=O)C(=O)N23,0
CC(=O)O[C@H]1[C@H]2c3cc4c(cc3CN3CCC(=C[C@@H]1O)[C@H]23)OCO4,0
CC/C=C1/C=CC(=O)[C@@H](O)[C@]12C(=O)N(C=O)[C@](C)(O)[C@@H]2O,0
C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)N=C(O)[C@]23[C@H](O)/C=C/[C@@H](C)C[C@@H](C)C/C=C/[C@H]3[C@@H]1O,0
CCCCCCCCC(=O)c1cccc2c1C=C(CCCCCCC)[C@]1(OCc3c(O)cccc31)O2,0
Cc1ncc([N+](=O)[O-])n1CCO,0
C[C@@H]1Cc2c3c(cc(O)c2C(=O)O1)O[C@@]1(C)[C@@H](O)C[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@@H]1C3,0
CCC[C@H]1C[C@H]2OC(=O)c3c(cc(OC)c(OC)c3O)[C@H]2O1,0
CCCCC(N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CO)N=C(O)[C@H](CO)N=C(O)C(CCCC)N=C(O)[C@@H](N=C(O)CN)[C@@H](C)CC)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](CCCCN)C(O)=N[C@H](C(O)=N[C@H](C(O)=N[C@@H](C)C(=N)O)[C@@H](C)CC)[C@@H](C)CC,0
Cc1cc(O)cc(Oc2cc(C)c(C(=N)O)c(O)c2)c1,0
CC(O)(COC(=O)c1ccc([C@@]2(C)C[C@H](O)CC2(C)C)cc1)C(=O)O,0
